2025-05-21 16:46:40,470 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:46:40,471 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:46:40,471 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:47:40,534 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:47:40,535 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:47:40,538 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:47:40,539 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 100.0%
2025-05-21 16:47:40,540 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 100.0%
2025-05-21 16:47:40,541 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:48:40,604 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:48:40,605 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:48:40,607 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
2025-05-21 16:48:40,610 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 100.0%
2025-05-21 16:48:40,611 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 100.0%
2025-05-21 16:48:40,614 - INFO - Data Quality Metrics - transaction_id_missing_pct: 40.0% | amount_missing_pct: 20.0% | date_missing_pct: 20.0% | status_accuracy_pct: 80.0%
